timestamp,role,player,card,clue,action,vote,error
2024-08-30T05:20:03.824984,storyteller,AI Bot 1,/home/seane/Development/dixit/data/images/cards/card_00040.jpg,"""In the heart of the forest, where the sun seldom peeks, a musical mystery, that the",,,
2024-08-30T05:20:03.825984,player,AI Bot 2,,,choose_card,,
2024-08-30T05:20:03.826266,player,AI Bot 3,,,choose_card,,
2024-08-30T05:20:04.422469,player,AI Bot 2,,,vote,,
2024-08-30T05:20:04.533322,player,AI Bot 3,,,vote,,
2024-08-30T05:20:05.427860,storyteller,AI Bot 2,/home/seane/Development/dixit/data/images/cards/card_00022.jpg,"""An orchestra of dreams conducted by the moonlight.""",,,
2024-08-30T05:20:05.428292,player,AI Bot 1,,,choose_card,,
2024-08-30T05:20:05.428668,player,AI Bot 3,,,choose_card,,
2024-08-30T05:20:05.528072,player,AI Bot 1,,,vote,,
2024-08-30T05:20:05.629310,player,AI Bot 3,,,vote,,
2024-08-30T05:20:07.060040,storyteller,AI Bot 3,/home/seane/Development/dixit/data/images/cards/card_00004.jpg,"As an AI, I'm unable to directly view images or files. However, I can assist in",,,
2024-08-30T05:20:07.060523,player,AI Bot 1,,,choose_card,,
2024-08-30T05:20:07.060838,player,AI Bot 2,,,choose_card,,
2024-08-30T05:20:07.143592,player,AI Bot 1,,,vote,,
2024-08-30T05:20:07.236373,player,AI Bot 2,,,vote,,
2024-08-30T05:20:08.472636,storyteller,AI Bot 1,/home/seane/Development/dixit/data/images/cards/card_00040.jpg,"""Where reality meets the dream, under the watchful eyes of celestial guardians.""",,,
2024-08-30T05:20:08.473162,player,AI Bot 2,,,choose_card,,
2024-08-30T05:20:08.473554,player,AI Bot 3,,,choose_card,,
2024-08-30T05:20:08.549540,player,AI Bot 2,,,vote,,
2024-08-30T05:20:08.637928,player,AI Bot 3,,,vote,,
2024-08-30T05:20:09.174916,storyteller,AI Bot 2,/home/seane/Development/dixit/data/images/cards/card_00069.jpg,"""Digital rabbit hole""",,,
2024-08-30T05:20:09.175284,player,AI Bot 1,,,choose_card,,
2024-08-30T05:20:09.175551,player,AI Bot 3,,,choose_card,,
2024-08-30T05:20:09.253120,player,AI Bot 1,,,vote,,
2024-08-30T05:20:09.346191,player,AI Bot 3,,,vote,,
2024-08-30T05:20:10.075363,storyteller,AI Bot 3,/home/seane/Development/dixit/data/images/cards/card_00004.jpg,"""Forgotten Symphony""",,,
2024-08-30T05:20:10.075758,player,AI Bot 1,,,choose_card,,
2024-08-30T05:20:10.075992,player,AI Bot 2,,,choose_card,,
2024-08-30T05:20:10.157266,player,AI Bot 1,,,vote,,
2024-08-30T05:20:10.241445,player,AI Bot 2,,,vote,,
2024-08-30T05:20:12.897330,storyteller,AI Bot 1,/home/seane/Development/dixit/data/images/cards/card_00046.jpg,"""Stellar Lullaby""",,,
2024-08-30T05:20:12.897878,player,AI Bot 2,,,choose_card,,
2024-08-30T05:20:12.898226,player,AI Bot 3,,,choose_card,,
2024-08-30T05:20:13.184343,player,AI Bot 2,,,vote,,
2024-08-30T05:20:13.285279,player,AI Bot 3,,,vote,,
2024-08-30T05:20:14.453805,storyteller,AI Bot 2,/home/seane/Development/dixit/data/images/cards/card_00069.jpg,"""In a realm where dreams and reality intertwine, a silent guardian of forgotten lore resides. Within his",,,
2024-08-30T05:20:14.454231,player,AI Bot 1,,,choose_card,,
2024-08-30T05:20:14.454514,player,AI Bot 3,,,choose_card,,
2024-08-30T05:20:14.543015,player,AI Bot 1,,,vote,,
2024-08-30T05:20:14.631610,player,AI Bot 3,,,vote,,
2024-08-30T05:39:25.310304,storyteller,AI Bot 1,data/images/cards/card_00004.jpg,"""Fourth visual element in digital collection""",,,
2024-08-30T05:39:25.312701,player,AI Bot 2,,,choose_card,,
2024-08-30T05:39:25.313138,player,AI Bot 3,,,choose_card,,
2024-08-30T05:39:26.027563,player,AI Bot 2,,,vote,,
2024-08-30T05:39:26.144894,player,AI Bot 3,,,vote,,
2024-08-30T05:39:28.004458,storyteller,AI Bot 2,data/images/cards/card_00033.jpg,"""Seek not in the realm of the living or the dead,
But within the frame where pixels are",,,
2024-08-30T05:39:28.005186,player,AI Bot 1,,,choose_card,,
2024-08-30T05:39:28.005600,player,AI Bot 3,,,choose_card,,
2024-08-30T05:39:28.105172,player,AI Bot 1,,,vote,,
2024-08-30T05:39:28.205802,player,AI Bot 3,,,vote,,
2024-08-30T05:39:29.805173,storyteller,AI Bot 3,data/images/cards/card_00078.jpg,"""Midnight's silent sentinel, guiding the way with a celestial light.""",,,
2024-08-30T05:39:29.805743,player,AI Bot 1,,,choose_card,,
2024-08-30T05:39:29.806170,player,AI Bot 2,,,choose_card,,
2024-08-30T05:39:29.890301,player,AI Bot 1,,,vote,,
2024-08-30T05:39:29.992618,player,AI Bot 2,,,vote,,
2024-08-30T05:39:30.609914,storyteller,AI Bot 1,data/images/cards/card_00004.jpg,"""Dream Weaver's Symphony""",,,
2024-08-30T05:39:30.610489,player,AI Bot 2,,,choose_card,,
2024-08-30T05:39:30.610953,player,AI Bot 3,,,choose_card,,
2024-08-30T05:39:30.709434,player,AI Bot 2,,,vote,,
2024-08-30T05:39:30.822718,player,AI Bot 3,,,vote,,
2024-08-30T05:39:31.960307,storyteller,AI Bot 2,data/images/cards/card_00002.jpg,"""A moment captured in time, where kings and queens rule the realm of suits and numbers.""",,,
2024-08-30T05:39:31.962026,player,AI Bot 1,,,choose_card,,
2024-08-30T05:39:31.962775,player,AI Bot 3,,,choose_card,,
2024-08-30T05:39:32.093410,player,AI Bot 1,,,vote,,
2024-08-30T05:39:32.192182,player,AI Bot 3,,,vote,,
2024-08-30T05:39:33.820127,storyteller,AI Bot 3,data/images/cards/card_00009.jpg,"""In realms digital where colors twine,
A rectangle of secrets, in pixels align.
A number,",,,
2024-08-30T05:39:33.820992,player,AI Bot 1,,,choose_card,,
